k, n, p, q, poverq, eigenvectors, conductance, rand
10, 1000, 0.01, 0.001, 10.0, 1, 0.9914219495212091, 0.8001108210821084
10, 1000, 0.01, 0.001, 10.0, 2, 0.7418332373833159, 0.8993472967296731
10, 1000, 0.01, 0.001, 10.0, 3, 0.17226530310814275, 0.9995644804480447
10, 1000, 0.01, 0.001, 10.0, 4, 0.1729906030189018, 0.9988077787778777
10, 1000, 0.01, 0.001, 10.0, 5, 0.17222620967239627, 0.9995564856485648
10, 1000, 0.01, 0.001, 10.0, 6, 0.17222528350328736, 0.9994168256825683
10, 1000, 0.01, 0.001, 10.0, 7, 0.1721753861573745, 0.999436787678768
10, 1000, 0.01, 0.001, 10.0, 8, 0.17217477550593108, 0.9992533713371337
10, 1000, 0.01, 0.001, 10.0, 9, 0.17218120420739594, 0.9990660326032602
10, 1000, 0.01, 0.001, 10.0, 10, 0.17227974033653232, 0.9987196639663967
10, 1000, 0.01, 0.002, 5.0, 1, 0.9931632012345506, 0.7933328632863287
10, 1000, 0.01, 0.002, 5.0, 2, 0.7641360054280308, 0.8966252945294529
10, 1000, 0.01, 0.002, 5.0, 3, 0.29204892742003075, 0.9989505090509049
10, 1000, 0.01, 0.002, 5.0, 4, 0.2944623528329799, 0.9974315611561154
10, 1000, 0.01, 0.002, 5.0, 5, 0.2920650762508006, 0.9987116371637164
10, 1000, 0.01, 0.002, 5.0, 6, 0.2926676006428064, 0.9976236403640366
10, 1000, 0.01, 0.002, 5.0, 7, 0.2918083439145028, 0.9976711071107109
10, 1000, 0.01, 0.002, 5.0, 8, 0.2925803477959419, 0.9954241844184418
10, 1000, 0.01, 0.002, 5.0, 9, 0.2924574130261596, 0.9934728412841285
10, 1000, 0.01, 0.002, 5.0, 10, 0.2948194223314169, 0.9897180818081808
10, 1000, 0.01, 0.003, 3.3333333333333335, 1, 0.9919805818483652, 0.7945553855385539
10, 1000, 0.01, 0.003, 3.3333333333333335, 2, 0.778509519532128, 0.8955870247024702
10, 1000, 0.01, 0.003, 3.3333333333333335, 3, 0.38181817844134563, 0.9984053405340534
10, 1000, 0.01, 0.003, 3.3333333333333335, 4, 0.38742133651537103, 0.995636399639964
10, 1000, 0.01, 0.003, 3.3333333333333335, 5, 0.3812831670050115, 0.9977741894189419
10, 1000, 0.01, 0.003, 3.3333333333333335, 6, 0.38446438990078, 0.9945272087208723
10, 1000, 0.01, 0.003, 3.3333333333333335, 7, 0.3798472004724262, 0.9939644584458446
10, 1000, 0.01, 0.003, 3.3333333333333335, 8, 0.38157383086376967, 0.9849449644964496
10, 1000, 0.01, 0.003, 3.3333333333333335, 9, 0.38530533550978663, 0.9761695709570958
10, 1000, 0.01, 0.003, 3.3333333333333335, 10, 0.38831571645291885, 0.9727692269226923
10, 1000, 0.01, 0.004, 2.5, 1, 0.9913313948055318, 0.7951614861486148
10, 1000, 0.01, 0.004, 2.5, 2, 0.7823998776639298, 0.898698893889389
10, 1000, 0.01, 0.004, 2.5, 3, 0.45054304796487016, 0.9983419481948195
10, 1000, 0.01, 0.004, 2.5, 4, 0.46051327438433914, 0.9939239583958397
10, 1000, 0.01, 0.004, 2.5, 5, 0.4495834601233891, 0.9970656185618563
10, 1000, 0.01, 0.004, 2.5, 6, 0.45755671684662697, 0.9899407720772077
10, 1000, 0.01, 0.004, 2.5, 7, 0.44603539632774786, 0.9884269366936692
10, 1000, 0.01, 0.004, 2.5, 8, 0.4548695368627473, 0.9856226422642264
10, 1000, 0.01, 0.004, 2.5, 9, 0.4556898701278322, 0.9840109750975099
10, 1000, 0.01, 0.004, 2.5, 10, 0.4668131319053188, 0.9791752575257526
10, 1000, 0.01, 0.005, 2.0, 1, 0.9900401948680425, 0.7963561236123613
10, 1000, 0.01, 0.005, 2.0, 2, 0.7878146950597873, 0.8988317511751175
10, 1000, 0.01, 0.005, 2.0, 3, 0.5054849873848837, 0.9981786798679868
10, 1000, 0.01, 0.005, 2.0, 4, 0.517743790202386, 0.993171481148115
10, 1000, 0.01, 0.005, 2.0, 5, 0.5041366333110773, 0.9963344274427444
10, 1000, 0.01, 0.005, 2.0, 6, 0.5197495768762295, 0.9834807280728072
10, 1000, 0.01, 0.005, 2.0, 7, 0.4969545840399494, 0.9784945014501449
10, 1000, 0.01, 0.005, 2.0, 8, 0.5010351902731974, 0.9762044344434443
10, 1000, 0.01, 0.005, 2.0, 9, 0.510124771567398, 0.970090117011701
10, 1000, 0.01, 0.005, 2.0, 10, 0.5147574498277223, 0.9668020782078207
10, 1000, 0.01, 0.006, 1.6666666666666667, 1, 0.9895283281572599, 0.7974669746974696
10, 1000, 0.01, 0.006, 1.6666666666666667, 2, 0.821785784922759, 0.8971207020702071
10, 1000, 0.01, 0.006, 1.6666666666666667, 3, 0.5506897105588247, 0.9984769376937693
10, 1000, 0.01, 0.006, 1.6666666666666667, 4, 0.563595732051096, 0.9919167156715671
10, 1000, 0.01, 0.006, 1.6666666666666667, 5, 0.5486069124027712, 0.9961264426442644
10, 1000, 0.01, 0.006, 1.6666666666666667, 6, 0.5669923857315424, 0.9762074147414743
10, 1000, 0.01, 0.006, 1.6666666666666667, 7, 0.5370382239586223, 0.9658934093409342
10, 1000, 0.01, 0.006, 1.6666666666666667, 8, 0.542679704623179, 0.9598545734573456
10, 1000, 0.01, 0.006, 1.6666666666666667, 9, 0.5553062640531395, 0.9534701170117013
10, 1000, 0.01, 0.006, 1.6666666666666667, 10, 0.5623572439314823, 0.9479806100610061
10, 1000, 0.01, 0.007, 1.4285714285714286, 1, 0.987200953803757, 0.7955177317731772
10, 1000, 0.01, 0.007, 1.4285714285714286, 2, 0.8286761814963113, 0.9003193979397939
10, 1000, 0.01, 0.007, 1.4285714285714286, 3, 0.5878626108336371, 0.9985444464446445
10, 1000, 0.01, 0.007, 1.4285714285714286, 4, 0.6020052636031986, 0.9913270867086709
10, 1000, 0.01, 0.007, 1.4285714285714286, 5, 0.5847923960161067, 0.9956698229822983
10, 1000, 0.01, 0.007, 1.4285714285714286, 6, 0.5920278466533238, 0.9661245184518451
10, 1000, 0.01, 0.007, 1.4285714285714286, 7, 0.570314890444445, 0.9463171217121713
10, 1000, 0.01, 0.007, 1.4285714285714286, 8, 0.586644755994049, 0.9363305490549054
10, 1000, 0.01, 0.007, 1.4285714285714286, 9, 0.5919379957674212, 0.9267625522552256
10, 1000, 0.01, 0.007, 1.4285714285714286, 10, 0.5963885123960555, 0.9160381398139814
10, 1000, 0.01, 0.008, 1.25, 1, 0.9878273065505591, 0.7965687128712873
10, 1000, 0.01, 0.008, 1.25, 2, 0.8281571484423379, 0.9022290209020902
10, 1000, 0.01, 0.008, 1.25, 3, 0.6190514650603458, 0.998667904790479
10, 1000, 0.01, 0.008, 1.25, 4, 0.6317372005715773, 0.9910278827882788
10, 1000, 0.01, 0.008, 1.25, 5, 0.6155552301865199, 0.9954025422542253
10, 1000, 0.01, 0.008, 1.25, 6, 0.6214002800676773, 0.9583013161316132
10, 1000, 0.01, 0.008, 1.25, 7, 0.6241468182820824, 0.9355687848784878
10, 1000, 0.01, 0.008, 1.25, 8, 0.6258252469005307, 0.9139614721472146
10, 1000, 0.01, 0.008, 1.25, 9, 0.6292283903762871, 0.9019572437243724
10, 1000, 0.01, 0.008, 1.25, 10, 0.6305890783534562, 0.8958715571557155
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 1, 0.9867423799201471, 0.7970953655365537
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 2, 0.8375251546420263, 0.9026623122312228
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 3, 0.6468398364241627, 0.9987874027402741
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 4, 0.6596223168018985, 0.9910981678167816
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 5, 0.6431570187539355, 0.9955160116011601
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 6, 0.6400201022207005, 0.9638326752675269
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 7, 0.6429821885366687, 0.9255650325032503
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 8, 0.6402493213363443, 0.9116844584458444
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 9, 0.623089621413221, 0.899875411541154
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 10, 0.6268801086557257, 0.8932231343134314
10, 1000, 0.01, 0.01, 1.0, 1, 0.989982389239754, 0.7962400720072007
10, 1000, 0.01, 0.01, 1.0, 2, 0.8434735705338164, 0.9037741454145414
10, 1000, 0.01, 0.01, 1.0, 3, 0.6705899338275054, 0.9991339873987399
10, 1000, 0.01, 0.01, 1.0, 4, 0.6844810154002547, 0.9907642204220422
10, 1000, 0.01, 0.01, 1.0, 5, 0.6659215102422215, 0.995449792979298
10, 1000, 0.01, 0.01, 1.0, 6, 0.6645646727964853, 0.9610091189118913
10, 1000, 0.01, 0.01, 1.0, 7, 0.6511544304816467, 0.9297014721472149
10, 1000, 0.01, 0.01, 1.0, 8, 0.630628333574377, 0.9031593759375938
10, 1000, 0.01, 0.01, 1.0, 9, 0.6293735679283183, 0.9020135873587358
10, 1000, 0.01, 0.01, 1.0, 10, 0.6240286618794652, 0.8941603740374038
