k, n, p, q, poverq, eigenvectors, conductance, rand
16, 1000, 0.01, 0.001, 10.0, 1, 0.9971231331670767, 0.8672097943621477
16, 1000, 0.01, 0.001, 10.0, 2, 0.8673093332525699, 0.9137436972623292
16, 1000, 0.01, 0.001, 10.0, 3, 0.37172314788180666, 0.9836468880867553
16, 1000, 0.01, 0.001, 10.0, 4, 0.3125954064816347, 0.9900499453090819
16, 1000, 0.01, 0.001, 10.0, 5, 0.2979532331494775, 0.994807367647978
16, 1000, 0.01, 0.001, 10.0, 6, 0.29041972692436796, 0.998479548721795
16, 1000, 0.01, 0.001, 10.0, 7, 0.288395518590974, 0.9987432792674541
16, 1000, 0.01, 0.001, 10.0, 8, 0.28836973539995037, 0.9987804354959685
16, 1000, 0.01, 0.001, 10.0, 9, 0.2889765866689601, 0.9987889336833554
16, 1000, 0.01, 0.001, 10.0, 10, 0.2884054431005459, 0.9988614241515095
16, 1000, 0.01, 0.001, 10.0, 11, 0.28877865573177364, 0.9988279392462027
16, 1000, 0.01, 0.001, 10.0, 12, 0.2887602817304779, 0.9987625015625975
16, 1000, 0.01, 0.001, 10.0, 13, 0.28831152274121064, 0.9987297932683292
16, 1000, 0.01, 0.001, 10.0, 14, 0.28832841413534255, 0.9985912658603663
16, 1000, 0.01, 0.001, 10.0, 15, 0.28832160333753387, 0.9984449715607224
16, 1000, 0.01, 0.001, 10.0, 16, 0.28898935009720444, 0.9980579536221013
16, 1000, 0.01, 0.002, 5.0, 1, 0.992373057916853, 0.8725357780173763
16, 1000, 0.01, 0.002, 5.0, 2, 0.8599114480427945, 0.9158827997062315
16, 1000, 0.01, 0.002, 5.0, 3, 0.45957314682005873, 0.993582311394462
16, 1000, 0.01, 0.002, 5.0, 4, 0.457473643458869, 0.9913629929995625
16, 1000, 0.01, 0.002, 5.0, 5, 0.45139002480492624, 0.9955402525157824
16, 1000, 0.01, 0.002, 5.0, 6, 0.4472126241958286, 0.9993190933808365
16, 1000, 0.01, 0.002, 5.0, 7, 0.44723901441007935, 0.9990025392212013
16, 1000, 0.01, 0.002, 5.0, 8, 0.44724559773003447, 0.99900198528033
16, 1000, 0.01, 0.002, 5.0, 9, 0.44730309200336194, 0.998953776017251
16, 1000, 0.01, 0.002, 5.0, 10, 0.4469718161349263, 0.9989941105694106
16, 1000, 0.01, 0.002, 5.0, 11, 0.44671307504934077, 0.9984920002812675
16, 1000, 0.01, 0.002, 5.0, 12, 0.44669095519432184, 0.9980650853178323
16, 1000, 0.01, 0.002, 5.0, 13, 0.44655123983632794, 0.9976646329458092
16, 1000, 0.01, 0.002, 5.0, 14, 0.44617911432042023, 0.9960211450715668
16, 1000, 0.01, 0.002, 5.0, 15, 0.44549681118327167, 0.9941326684480283
16, 1000, 0.01, 0.002, 5.0, 16, 0.44564786784568594, 0.9940886235077194
16, 1000, 0.01, 0.003, 3.3333333333333335, 1, 0.9934781593891678, 0.8720298471779486
16, 1000, 0.01, 0.003, 3.3333333333333335, 2, 0.8482256379908251, 0.9224089630601912
16, 1000, 0.01, 0.003, 3.3333333333333335, 3, 0.5548403788683178, 0.9948861756984811
16, 1000, 0.01, 0.003, 3.3333333333333335, 4, 0.5537610209066026, 0.9918095248140508
16, 1000, 0.01, 0.003, 3.3333333333333335, 5, 0.5494937812297975, 0.9952951551659478
16, 1000, 0.01, 0.003, 3.3333333333333335, 6, 0.54779456126339, 0.9991315933808365
16, 1000, 0.01, 0.003, 3.3333333333333335, 7, 0.5476326122494728, 0.998398754609663
16, 1000, 0.01, 0.003, 3.3333333333333335, 8, 0.5474594652452828, 0.9983666877617351
16, 1000, 0.01, 0.003, 3.3333333333333335, 9, 0.5471763161807167, 0.9980906322270142
16, 1000, 0.01, 0.003, 3.3333333333333335, 10, 0.5465165664169914, 0.9980678972123258
